id_building,energy_site_eui_post_odcv
CAM_1338,284.1
CAM_1160,75.8
CAM_1236,165.3
CAM_1468,97.5
CAM_1329,199.9
CAM_1495,227.5
CAM_1172,29.9
CAM_1391,268.9
CAM_1261,35.0
CAM_1505,102.4
CAM_1885,51.1
CAM_1089,59.9
CAM_1500,246.9
CAM_1805,63.5
CAM_1155,158.8
CAM_1412,50.3
CAM_1289,226.7
CAM_1064,121.8
CAM_1668,89.2
CAM_1728,55.3
CAM_1770,134.4
CAM_1229,37.7
CAM_1303,117.5
CAM_1473,286.3
CAM_1411,78.8
CAM_1094,55.5
CAM_1123,50.0
CAM_1273,31.5
CAM_1325,61.7
CAM_1301,40.8
CAM_1256,69.3
CAM_1063,43.3
CAM_1542,38.8
CAM_1559,35.3
CAM_1209,226.3
CAM_1396,112.7
CAM_1228,346.9
CAM_1380,74.8
CAM_1347,281.8
CAM_1872,77.7
CAM_1817,79.1
CAM_1314,47.0
CAM_1168,121.4
CAM_1407,131.1
CAM_1307,53.5
CAM_1200,67.7
CAM_1284,45.2
CAM_1173,99.7
CAM_1097,37.7
CAM_1487,223.8
CAM_1237,163.0
CAM_1901,43.8
CAM_1504,132.3
CAM_1260,170.4
CAM_1205,33.0
CAM_1390,155.7
CAM_1615,54.7
CAM_1879,102.2
CAM_1481,256.3
CAM_1515,40.0
CAM_1582,65.7
CAM_1476,106.0
CAM_1337,125.5
CAM_1294,87.0
CAM_1549,60.4
CAM_1609,42.7
CAM_1330,104.0
CAM_1164,85.1
CAM_1647,33.8
CAM_1196,142.2
CAM_1370,50.7
CAM_1625,48.3
CAM_1824,79.8
CAM_1527,379.2
CAM_1683,17.9
CAM_1114,49.8
CAM_1491,221.6
CAM_1264,169.4
CAM_1233,62.4
CAM_1352,68.9
CAM_1082,35.7
CAM_1585,35.1
CAM_1201,43.5
CAM_1496,111.5
CAM_1511,78.0
CAM_1715,33.2
CAM_1578,74.2
CAM_1220,56.4
CAM_1655,53.1
CAM_1688,86.8
CAM_1477,383.8
CAM_1137,63.8
CAM_1142,81.0
CAM_1467,117.8
CAM_1136,46.1
CAM_1245,59.6
CAM_1110,53.5
CAM_1374,6.7
CAM_1847,37.1
CAM_1213,88.2
CAM_1324,122.4
CAM_1413,39.2
CAM_1589,138.8
CAM_1812,117.3
CAM_1308,40.5
CAM_1429,65.5
CAM_1650,18.6
CAM_1156,7.3
CAM_1169,32.9
CAM_1288,47.7
CAM_1306,41.1
CAM_1157,57.4
CAM_1862,24.2
CAM_1022,37.3
CAM_1873,36.3
CAM_1610,466.3
CAM_1300,269.4
CAM_1061,61.8
CAM_1212,78.2
CAM_1430,51.5
CAM_1075,72.3
CAM_1397,50.5
CAM_1603,164.6
CAM_1326,133.1
CAM_1526,284.7
CAM_1050,81.4
CAM_1486,361.1
CAM_1364,44.0
CAM_1167,72.9
CAM_1180,44.2
CAM_1880,53.5
CAM_1119,19.4
CAM_1227,49.4
CAM_1437,82.3
CAM_1392,165.5
CAM_1376,138.0
CAM_1471,159.3
CAM_1081,34.0
CAM_1539,63.2
CAM_1040,38.1
CAM_1648,66.2
CAM_1315,45.3
CAM_1279,24.6
CAM_1216,52.4
CAM_1497,216.6
CAM_1402,72.0
CAM_1665,79.8
CAM_1358,47.6
CAM_1583,66.6
CAM_1565,36.2
CAM_1859,367.3
CAM_1108,63.5
CAM_1336,5.6
CAM_1654,119.7
CAM_1096,145.1
CAM_1259,127.6
CAM_1659,57.8
CAM_1703,53.7
CAM_1163,55.9
CAM_1206,64.3
CAM_1113,378.0
CAM_1343,112.8
CAM_1482,358.5
CAM_1721,50.0
CAM_1414,108.1
CAM_1807,28.2
CAM_1874,459.3
CAM_1670,36.1
CAM_1287,67.1
CAM_1820,40.5
CAM_1409,111.1
CAM_1143,75.7
CAM_1594,53.9
CAM_1309,49.8
CAM_1275,63.3
CAM_1085,43.8
CAM_1175,134.0
CAM_1716,11.0
CAM_1512,132.3
CAM_1139,89.1
CAM_1621,45.3
CAM_1170,54.7
CAM_1579,40.6
CAM_1389,220.2
CAM_1263,43.9
CAM_1118,179.2
CAM_1355,39.1
CAM_1478,299.5
CAM_1588,54.4
CAM_1612,24.8
CAM_1066,41.9
CAM_1305,59.6
CAM_1291,201.6
CAM_1431,73.6
CAM_1100,133.3
CAM_1340,116.1
CAM_1776,62.8
CAM_1185,59.0
CAM_1344,5.0
CAM_1459,144.6
CAM_1617,383.2
CAM_1483,260.2
CAM_1135,50.4
CAM_1351,114.2
CAM_1490,64.0
CAM_1575,102.0
CAM_1031,25.5
CAM_1349,164.2
CAM_1739,35.5
CAM_1162,154.9
CAM_1077,123.6
CAM_1401,104.6
CAM_1327,144.3
CAM_1602,225.2
CAM_1258,46.4
CAM_1661,33.4
CAM_1470,326.0
CAM_1377,80.1
CAM_1502,76.7
CAM_1613,26.8
CAM_1382,41.0
CAM_1620,49.2
CAM_1856,67.6
CAM_1547,99.5
CAM_1332,253.2
CAM_1266,49.5
CAM_1166,66.9
CAM_1686,125.1
CAM_1120,221.3
CAM_1147,367.1
CAM_1436,42.7
CAM_1822,106.2
CAM_1023,35.9
CAM_1080,109.1
CAM_1126,195.3
CAM_1393,70.8
CAM_1254,61.8
CAM_1215,29.1
CAM_1702,51.2
CAM_1498,138.5
CAM_1398,45.5
CAM_1359,6.6
CAM_1222,35.7
CAM_1159,243.2
CAM_1652,73.1
CAM_1328,43.5
CAM_1270,28.8
CAM_1154,88.7
CAM_1030,44.9
CAM_1420,42.1
CAM_1191,123.3
CAM_1281,63.3
CAM_1388,103.1
CAM_1218,64.1
CAM_1247,97.0
CAM_1304,140.6
CAM_1354,77.4
CAM_1536,20.1
CAM_1084,58.9
CAM_1849,43.7
CAM_1494,118.4
CAM_1732,67.9
CAM_1292,40.9
CAM_1410,51.0
CAM_1484,128.6
CAM_1345,204.0
CAM_1479,34.8
CAM_1171,49.9
CAM_1065,65.7
CAM_1460,81.7
CAM_1383,135.4
CAM_1235,101.4
CAM_1368,352.4
